"experiment","condition","id","parameter","model","RMSD","PEARSON"
"E1","6",6,6,"weight_window_create",0.960368519011162,0.545064629184442
"E1","6",6,6,"weight_linear_create",0.76904072278865,0.584931422197661
"E1","2a_average",3,1,"weight_window_create",0.0266666666666673,NA
"E1","2a_average",3,1,"weight_linear_create",0.0600000000000005,NA
"E1","2a_average",3,2,"weight_window_create",0.0766666666666671,NA
"E1","2a_average",3,2,"weight_linear_create",0.0525925925925925,NA
"E1","2a_average",3,3,"weight_window_create",0.0488888888888894,NA
"E1","2a_average",3,3,"weight_linear_create",0.0511111111111111,NA
"E1","2a_average",6,1,"weight_window_create",0.493333333333333,NA
"E1","2a_average",6,1,"weight_linear_create",0.288888888888889,NA
"E1","2a_average",6,2,"weight_window_create",0.68,NA
"E1","2a_average",6,2,"weight_linear_create",0.130666666666667,NA
"E1","2a_average",6,3,"weight_window_create",0.222222222222222,NA
"E1","2a_average",6,3,"weight_linear_create",0.079047619047619,NA
"E1","2a_average",6,4,"weight_window_create",0.0566666666666666,NA
"E1","2a_average",6,4,"weight_linear_create",0.168282828282828,NA
"E1","2a_average",6,5,"weight_window_create",0.204,NA
"E1","2a_average",6,5,"weight_linear_create",0.209925925925926,NA
"E1","2a_average",6,6,"weight_window_create",0.324444444444444,NA
"E1","2a_average",6,6,"weight_linear_create",0.234035087719298,NA
"E1","7_average",3,1,"weight_window_create",0.0116279069767442,NA
"E1","7_average",3,1,"weight_linear_create",0.0131782945736436,NA
"E1","7_average",3,2,"weight_window_create",0.0255813953488371,NA
"E1","7_average",3,2,"weight_linear_create",0.0121447028423773,NA
"E1","7_average",3,3,"weight_window_create",0.0116279069767442,NA
"E1","7_average",3,3,"weight_linear_create",0.0119379844961243,NA
"E1","7_average",9,1,"weight_window_create",0.253488372093024,NA
"E1","7_average",9,1,"weight_linear_create",0.244186046511628,NA
"E1","7_average",9,2,"weight_window_create",0.23953488372093,NA
"E1","7_average",9,2,"weight_linear_create",0.100232558139536,NA
"E1","7_average",9,3,"weight_window_create",0.172868217054265,NA
"E1","7_average",9,3,"weight_linear_create",0.197864261983863,NA
"E1","7_average",9,4,"weight_window_create",0.0622093023255808,NA
"E1","7_average",9,4,"weight_linear_create",0.231358434846807,NA
"E1","7_average",9,5,"weight_window_create",0.536445182724252,NA
"E1","7_average",9,5,"weight_linear_create",0.216974283253353,NA
"E1","7_average",9,6,"weight_window_create",0.412541528239202,NA
"E1","7_average",9,6,"weight_linear_create",0.209782207456625,NA
"E1","7_average",9,7,"weight_window_create",0.313075462743236,NA
"E1","7_average",9,7,"weight_linear_create",0.20546696197859,NA
"E1","7_average",9,8,"weight_window_create",0.247778239202658,NA
"E1","7_average",9,8,"weight_linear_create",0.202590131659899,NA
"E1","7_average",9,9,"weight_window_create",0.188205980066445,NA
"E1","7_average",9,9,"weight_linear_create",0.200535252860834,NA
"E1","7_average",6,1,"weight_window_create",0.204651162790698,NA
"E1","7_average",6,1,"weight_linear_create",0.350664451827243,NA
"E1","7_average",6,2,"weight_window_create",0.628322259136213,NA
"E1","7_average",6,2,"weight_linear_create",0.00486710963455161,NA
"E1","7_average",6,3,"weight_window_create",0.0258582502768547,NA
"E1","7_average",6,3,"weight_linear_create",0.287066919791172,NA
"E1","7_average",6,4,"weight_window_create",0.294559800664452,NA
"E1","7_average",6,4,"weight_linear_create",0.402078928823115,NA
"E1","7_average",6,5,"weight_window_create",0.471926910299003,NA
"E1","7_average",6,5,"weight_linear_create",0.455751199704688,NA
"E1","7_average",6,6,"weight_window_create",0.603349944629014,NA
"E1","7_average",6,6,"weight_linear_create",0.486824619688757,NA
"E1","5b_average",3,1,"weight_window_create",0.0750000000000002,NA
"E1","5b_average",3,1,"weight_linear_create",0.0499999999999998,NA
"E1","5b_average",3,2,"weight_window_create",0.0374999999999996,NA
"E1","5b_average",3,2,"weight_linear_create",0.052777777777778,NA
"E1","5b_average",3,3,"weight_window_create",0.0541666666666671,NA
"E1","5b_average",3,3,"weight_linear_create",0.0533333333333337,NA
"E1","5b_average",9,1,"weight_window_create",0.7375,NA
"E1","5b_average",9,1,"weight_linear_create",0.716666666666667,NA
"E1","5b_average",9,2,"weight_window_create",0.70625,NA
"E1","5b_average",9,2,"weight_linear_create",0.39875,NA
"E1","5b_average",9,3,"weight_window_create",0.625,NA
"E1","5b_average",9,3,"weight_linear_create",0.0083333333333333,NA
"E1","5b_average",9,4,"weight_window_create",0.00937500000000036,NA
"E1","5b_average",9,4,"weight_linear_create",0.0520833333333335,NA
"E1","5b_average",9,5,"weight_window_create",0.4825,NA
"E1","5b_average",9,5,"weight_linear_create",0.0324074074074074,NA
"E1","5b_average",9,6,"weight_window_create",0.291666666666667,NA
"E1","5b_average",9,6,"weight_linear_create",0.0225694444444446,NA
"E1","5b_average",9,7,"weight_window_create",0.160714285714286,NA
"E1","5b_average",9,7,"weight_linear_create",0.0166666666666671,NA
"E1","5b_average",9,8,"weight_window_create",0.0718750000000004,NA
"E1","5b_average",9,8,"weight_linear_create",0.0127314814814818,NA
"E1","5b_average",9,9,"weight_window_create",0.00694444444444375,NA
"E1","5b_average",9,9,"weight_linear_create",0.00992063492063533,NA
"E1","5b_average",6,1,"weight_window_create",0.6375,NA
"E1","5b_average",6,1,"weight_linear_create",0.791666666666666,NA
"E1","5b_average",6,2,"weight_window_create",0.86875,NA
"E1","5b_average",6,2,"weight_linear_create",0.00749999999999984,NA
"E1","5b_average",6,3,"weight_window_create",0.0666666666666669,NA
"E1","5b_average",6,3,"weight_linear_create",0.461309523809524,NA
"E1","5b_average",6,4,"weight_window_create",0.525,NA
"E1","5b_average",6,4,"weight_linear_create",0.647348484848485,NA
"E1","5b_average",6,5,"weight_window_create",0.785,NA
"E1","5b_average",6,5,"weight_linear_create",0.734166666666667,NA
"E1","5b_average",6,6,"weight_window_create",0.972916666666667,NA
"E1","5b_average",6,6,"weight_linear_create",0.784429824561404,NA
"E1","3_average",3,1,"weight_window_create",0.123076923076923,NA
"E1","3_average",3,1,"weight_linear_create",0.158974358974358,NA
"E1","3_average",3,2,"weight_window_create",0.176923076923077,NA
"E1","3_average",3,2,"weight_linear_create",0.148717948717949,NA
"E1","3_average",3,3,"weight_window_create",0.143589743589743,NA
